Signal,Open,High,Low,Close,Volume,NYSE_Close,RUSS_Close,NASDAQ_Close,DJI_Close,FTSE_Close,GOLD_Close,N225_Close,USDCNY_Close,USDEUR_Close,USDGBP_Close,USDJPY_Close,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,April,August,December,February,January,July,June,March,May,November,October,September,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Friday,Monday,Thursday,Tuesday,Wednesday
1,0.006959695,0.008360274000000001,0.011718633999999999,0.005822698,3996490000,0.005204597,-0.004441063,0.003259737,0.006631697,0.007752495999999999,0.002150795,-0.01428485,-0.000264026,0.000589362,-0.001951855,0.0015880220000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.004785154000000001,0.002031833,0.002409059,0.003676275,3791090000,0.002898182,0.008346275,-0.000251074,0.006291055,0.003274322,-0.013933568,0.024542197,0.000176025,0.007484076,0.001789346,0.009700053,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0.003508458,0.005631385,0.005884553000000001,0.00693534,4548490000,0.008576306,0.015568503999999999,0.009899204,0.002817971,0.010154291,0.010168853,-0.00021668599999999998,0.00021998799999999998,-0.002488474,-0.0035818990000000004,-0.004499950999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.005643706,-0.000583255,-0.002250147,-0.00556247,5045100000,-0.006288438,-0.005723229,-0.005007770999999999,-0.004681905,-0.005565475,-0.001492087,-0.002199201,-0.000102655,0.007883253,0.002443595,0.009214379,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,-0.004948902,0.001883138,0.00235846,0.001127594,4829820000,0.005492183,0.008049193,0.002658828,-0.001041491,0.006505713000000001,0.011312538,0.009272117,1.47e-05,0.001017368,-0.0035859859999999998,0.00378009,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-0.002031631,-0.008863671,-0.010962793,-0.011880825,7615070000,-0.016430548,-0.011452579,-0.012245535,-0.012806341,-0.019492167,-0.034874779,-0.00133817,0.000131981,0.012415346,0.010234839,-0.002339964,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,-0.0077125169999999995,-0.002370935,-0.001826685,0.0058129390000000005,6325890000,0.003171748,0.010404928,0.014409116999999999,0.001999308,-0.003994475,0.012929071,-0.002142241,-0.000161313,-0.000143482,0.001130765,0.008884998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.006763008,0.012550695,0.01039483,0.010448907,3977340000,0.008565856,0.013065913,0.011673748000000001,0.008219675,0.018531052,-0.017900915,0.00407567,-1.47e-05,0.004295539,0.005474171999999999,0.006799037,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.008289008,0.002314619,0.008289008,0.00355724,3641130000,0.005167711,0.008050277,0.006685501999999999,0.004865169,0.006533201999999999,-0.008772188,0.018925254,8.8e-05,0.002283432,0.005444369,0.008181078,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.003877588,0.001168678,0.0013360179999999998,0.002296069,3166870000,0.00458568,0.011765029,0.007505049000000001,0.000144281,0.00816743,0.003453758,0.018925254,-0.00014666,-0.005718386,0.005444369,-0.001798905,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0020000720000000003,0.004359320999999999,0.004541642,0.005242394,1267710000,0.00522382,0.004885192,0.00704672,0.005112814,0.005568563,0.016278316,0.015194208999999998,0.002197642,-0.00330294,-0.000319438,-0.002141095,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0.005736893000000001,0.0034561329999999997,0.002165207,0.001153372,2716400000,0.000859727,-0.000504804,0.002355374,0.002562282,0.005568563,0.001446263,0.009192763,-0.0019190070000000001,0.000575209,-0.0017587339999999999,0.0026865590000000003,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0.000904223,0.0034561329999999997,0.002284862,-0.001401965,2491020000,-0.0012471210000000001,-0.0008998130000000001,-0.001170439,-0.00015835,0.0064944880000000005,-0.009319783,0.000360093,-0.00017597099999999997,0.0022975310000000002,0.006221604,0.003049115,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,-0.002679587,-0.003509397,-0.003683245,0.00019532799999999998,2277300000,-0.00151103,0.00036318,0.00125773,0.00029392400000000004,-0.007327798000000001,-0.003589487,-0.008649774,-0.000220007,0.000143421,-0.010873148000000001,0.004880969000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0.000950212,0.001082491,-0.006375343,-0.010100375,2076990000,-0.00780251,-0.012742467,-0.009705301,-0.011485327,0.002775005,0.003726236,-0.008649774,0.0019490470000000002,0.001003369,-0.006451635,0.005287877,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,-0.008951717,0.005509607,0.001568543,0.015916068999999998,3991400000,0.019540717,0.023248959,0.017157996000000002,0.014840357,0.016017643,0.02190994,0.010221194,-0.0019930539999999997,-0.006756297,0.004198295,-0.004476694,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0.014316319,0.002431184,0.011664171999999999,0.003110806,2491020000,0.0038320090000000004,-0.002518401,0.000125619,-0.001128759,0.00402802,-0.002884793,0.002534611,1.47e-05,0.004030522,0.007704693,-0.009887086,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0.002689157,0.00224974,0.00379041,0.000545376,4972660000,0.0030992579999999997,-0.0008461030000000001,-0.003306003,0.000157006,0.001357159,0.017905899,0.004634515,0.00019068200000000002,-0.002733225,-0.002080833,0.008383172,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.000492962,0.0028663490000000002,-0.00232202,0.003993283,5270680000,0.002197456,0.006281663000000001,-0.000452062,0.0031330670000000002,-0.0005969230000000001,-0.005726888,-0.00465043,-7.329999999999999e-05,0.006031901,0.0055924090000000004,0.011133598,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.003733331,0.0025613579999999997,0.004321871,0.002877549,4389590000,0.004240428,0.00402634,0.007415751999999999,0.001067607,0.001356129,0.005709316999999999,0.010862314,-4.4e-05,-0.006464147,-0.0055924090000000004,-0.007847393000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0.004758415,0.003790639,0.005091661,0.0017452320000000002,4255780000,0.0031866859999999998,-0.000884715,-0.002056343,0.004304077,0.0007044610000000001,0.011894921000000001,0.010862314,-0.000146692,-0.00694146,-0.00562386,-0.006148803,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,-0.001877918,-0.005171035,-0.009015845,-0.009425438000000001,4716160000,-0.010607745,-0.013271106999999999,-0.013102183,-0.003450247,-0.0071397809999999996,-0.020497751,0.007456628000000001,1.47e-05,0.002463948,-0.002419941,-0.011049836,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,-0.00569897,0.004004874,0.001245061,0.008291384,4170360000,0.008065938,0.012603172,0.011149932,0.00502253,-0.004593435,0.008558900999999999,-0.013334968,2.9299999999999997e-05,-0.003335028,-0.008271882,0.003868222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.007332521999999999,0.0017487310000000001,0.009328213,0.002423567,3915200000,0.002470654,0.004449654,0.003823005,0.0027843090000000004,0.0045024999999999996,0.0040071429999999995,0.015954902,2.9299999999999997e-05,0.0017414020000000002,-0.002935902,-0.001817187,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.001779019,-0.002297471,-0.010909087,-0.010882186,4758730000,-0.012391659,-0.013189332,-0.012487322,-0.009465273,-0.007814821999999999,-0.010397335,0.006799546,2.9299999999999997e-05,0.00751123,0.003912623,-0.005680803000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,-0.010237636999999999,0.002332241,0.00386387,0.012422194,4724830000,0.011741653999999999,0.017388228999999998,0.014065882,0.010853593,0.010521135,0.006539542,-0.019975833000000002,-2.9299999999999997e-05,0.007598058,-0.00522024,0.0049354590000000005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0.010438015,-0.002175427,-0.0057571390000000005,-0.010654438,4810560000,-0.015413027,-0.014805199,-0.012642064,-0.01146643,-0.016883672,-0.024049344,-0.0025466910000000002,7.329999999999999e-05,0.012066297,0.0035918409999999997,-7.68e-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-0.008108045999999999,-0.005564475,-0.012842798999999998,-0.019126605,6874290000,-0.021424826,-0.017745365,-0.011213758,-0.020318871000000002,-0.015935776999999998,-0.015644094,0.012116266,5.870000000000001e-05,0.000987237,0.005687835,-0.008800343,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,-0.020575927,-0.023119497000000003,-0.022368077000000004,-0.022389806,6208650000,-0.020254024,-0.018049756,-0.027024742,-0.02109707,-0.0060349309999999995,-0.00074979,-0.025898322,-0.000102679,-0.003106031,0.005816788000000001,-0.006470503000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,-0.02091666,-0.011287229,0.00203429,0.004587541,4481390000,0.006029625,0.001602941,0.0024954210000000003,0.002344644,-0.008084639,0.0047179579999999995,-0.007378995,-1.47e-05,-0.000707264,-0.008575411,0.006713855,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0.00310758,0.00065257,-0.002327863,-0.0042120709999999995,4731910000,-0.006355396,-0.009672749,-0.003203062,-0.00025207,0.003150745,-0.000683045,-0.017987842,-4.4e-05,0.004799557,0.006317345,-0.008720097,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2,-0.0035287590000000002,-0.003794485,-0.006212715,0.004868323,5319120000,0.001036695,0.010109469,0.00799075,0.00409879,-0.011320443999999999,-0.008876339,-0.007114645,5.870000000000001e-05,0.0036547690000000004,-0.001939551,0.003563875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,0.004559438,0.000645534,-0.004302435,-0.011888153,5452400000,-0.011237486999999999,-0.017043411,-0.019276073,-0.011367432,-0.013856946,-0.0009195830000000001,0.01569829,-1.47e-05,0.004479918,0.0022624439999999997,-0.001914004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,-0.008532741,-0.003432472,-0.006390570999999999,-0.009877766999999999,5412850000,-0.01057899,-0.009735855,-0.014631532,-0.00526359,0.008283224,-0.005304074000000001,-0.020983357,-1.47e-05,0.007237332,0.009798488000000001,0.005465223000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,-0.012695058,-0.006468961,0.002144043,0.014165355,4077610000,0.017917253,0.011904804,0.011045486,0.011672558000000001,0.011288078,0.022271412999999997,0.0006842110000000001,1.47e-05,-0.004308255,0.002075849,0.0054134809999999995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0.014935997,0.013992234,0.013016813,0.012889515,4749540000,0.013212408,0.007847666,0.008648931,0.010869938,0.006818187,0.008018061,0.016142372,-0.000293427,-0.00348797,-0.002555504,-0.0036647059999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0.009695519,-0.001821106,0.005508898000000001,-0.0054894259999999995,4285450000,-0.00831732,-0.0055360190000000005,0.00038804199999999996,-0.002557447,-0.005713488,-0.004181191,0.003199938,0.000278758,0.005435931999999999,0.004467855,0.0045457629999999995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-0.003112036,-0.004972805,-0.028925165,-0.031635816000000004,5859690000,-0.036844537000000004,-0.034960323,-0.030342848,-0.026477507,-0.021920531,-0.042586255,-0.004657935,0.000278758,0.011196468000000001,0.009507281,-0.015867184,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
